artifact_dir,test_id,timestamp,interface_name,interface_type,interface_device,mac_address,link_speed,ssid,bssid,last_tx_rate_mbps,channel,tcp_dl_mbps,tcp_ul_mbps,udp_dl_mbps,udp_dl_jitter_ms,udp_dl_packet_loss_pct,udp_ul_mbps,udp_ul_jitter_ms,udp_ul_packet_loss_pct,ping_wan_mean_ms,ping_wan_std_ms,label
results/artifacts_ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute_testC_20251105_070909,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute,20251105_070909,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.5800052318210458,0.8379901282567414,49.9985375008808,0.0,0.0,50.001070007093396,2.931383740877487,0.0,77.31330434782609,52.022606312880754,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute
results/artifacts_ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute_testC_20251105_071728,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute,20251105_071728,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,3.29232487208186,1.2569814253547804,49.99511836588634,0.5035462496791125,7.666442501681237,49.999543052874536,1.6808634689690192,0.0,59.9314347826087,33.96908562719677,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute
results/artifacts_ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute_testC_20251105_071949,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute,20251105_071949,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.5551931916887072,1.6759973339428396,49.9978364814649,0.3664447376817752,17.44397334948516,49.99941440655865,1.0501868346459788,0.0,71.21858333333333,36.64743234960453,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_TRoute
results/artifacts_ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove_testC_20251105_070632,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove,20251105_070632,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,,,,,,,,,,,ST1_AuxSilvus_ATVSilvus_Viasat_ClarksCove
results/artifacts_ST1_Checkout_testC_20251104_205428,ST1_Checkout,20251104_205428,Wi-Fi,wifi,en0,,,,,,,5.30381754874916,4.508097349968191,50.000106360394796,1.2988959145521843,50.31282586027112,49.99991874714361,0.0,0.0,29.62548,3.9429048224874297,ST1_Checkout
results/artifacts_ST1_Checkout_testC_20251105_025602,ST1_Checkout,20251105_025602,Wi-Fi,wifi,en0,,,,,,,4.850766057405766,4.96295930886317,50.00014873488074,1.6367727667685323,38.101694915254235,50.000117066401316,92.14087585092776,7.971811799224563,58.092245098039214,76.45525898539283,ST1_Checkout
results/artifacts_ST1_MacPro_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_101027_20251105_101027,ST1_MacPro_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_101027,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,,,,,,,,,,,ST1_MacPro_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_MacPro_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_102154_20251105_102154,ST1_MacPro_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_102154,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,,,,,,,,,,,ST1_MacPro_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_094556_20251105_094556,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_094556,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.24129856739155,1.0475161231865597,4.99754201106174,3.7577630160092665,2.1367521367521367,5.000926854423118,2.139154058828662,0.8550330353672756,54.26392,27.308092277320778,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_094743_20251105_094743,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_094743,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,0.8075826398105533,1.048363391904122,4.999692692511037,2.0569461234366044,7.84313725490196,5.000995797829065,3.1126127000478614,0.4275165176836378,84.63939130434782,44.000512390342095,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_094931_20251105_094931,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_094931,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.890731229725094,1.2580104120760247,4.991072279036742,2.067353905582719,0.20161290322580644,5.000411897584793,7.29113479453202,0.6220839813374806,83.02817391304347,41.1644390017891,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095117_20251105_095117,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095117,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,0.823367008971969,1.46687631848424,4.990207534145774,2.0155173090819862,6.666666666666667,5.001212504022692,2.4669566059886945,0.738724727838258,58.70684,26.79269578585427,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095302_20251105_095302,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095302,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.426506473668049,1.8855015212386008,4.997277052367219,3.237929337731746,4.780876494023905,5.001456401638097,2.4040280540430374,0.7390120575651498,71.59882608695652,35.1724208974384,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
